"","state","account_length","area_code","international_plan","voice_mail_plan","number_vmail_messages","total_day_minutes","total_day_calls","total_day_charge","total_eve_minutes","total_eve_calls","total_eve_charge","total_night_minutes","total_night_calls","total_night_charge","total_intl_minutes","total_intl_calls","total_intl_charge","number_customer_service_calls"
"452","MT",111,"area_code_408","no","no",0,142.3,75,24.19,122.8,106,10.44,229.5,94,10.33,12.8,9,3.46,2
"453","VA",114,"area_code_415","yes","yes",31,174.5,104,29.67,224.2,92,19.06,116.3,91,5.23,12.3,10,3.32,2
"454","PA",122,"area_code_415","no","no",0,35.1,62,5.97,180.8,89,15.37,251.6,58,11.32,12.7,2,3.43,1
"455","WV",83,"area_code_415","no","yes",37,78.5,109,13.35,210.5,101,17.89,179.7,102,8.09,11.8,4,3.19,1
"456","ID",144,"area_code_415","no","yes",33,251.6,87,42.77,197.6,118,16.8,209.2,97,9.41,12.2,3,3.29,2
"457","TX",19,"area_code_510","no","yes",34,156.6,97,26.62,224.2,97,19.06,260.9,135,11.74,11.3,1,3.05,1
"458","MA",46,"area_code_408","no","no",0,139.4,81,23.7,223.7,113,19.01,173.1,77,7.79,13.6,6,3.67,1
"459","UT",105,"area_code_415","no","no",0,106.4,71,18.09,240.1,83,20.41,147.7,114,6.65,5.3,4,1.43,6
"460","NY",122,"area_code_415","no","no",0,173.6,110,29.51,91.7,84,7.79,211.7,103,9.53,9.7,7,2.62,3
"461","MD",37,"area_code_415","yes","no",0,106.6,76,18.12,147.4,89,12.53,235.8,113,10.61,9.6,8,2.59,2
"462","HI",119,"area_code_408","no","yes",24,217.2,94,36.92,138.7,52,11.79,139.3,85,6.27,11.3,4,3.05,0
"463","CO",76,"area_code_408","no","yes",26,214.6,110,36.48,205.2,87,17.44,134.6,140,6.06,8.1,2,2.19,1
"464","FL",116,"area_code_408","no","no",0,146.4,123,24.89,176.6,113,15.01,212.6,102,9.57,7.8,5,2.11,1
"465","CA",60,"area_code_415","yes","no",0,183,110,31.11,206.7,93,17.57,203.8,119,9.17,11.1,6,3,1
"466","TX",47,"area_code_408","no","yes",28,112.2,70,19.07,154.8,106,13.16,166.7,105,7.5,10.6,2,2.86,0
"467","AK",173,"area_code_510","no","no",0,172.5,78,29.33,142.6,91,12.12,102,63,4.59,10.9,2,2.94,0
"468","MS",66,"area_code_408","no","yes",32,187.8,117,31.93,129.8,90,11.03,132.3,113,5.95,12,3,3.24,2
"469","VT",50,"area_code_415","yes","yes",26,307.1,94,52.21,289.4,78,24.6,174.9,109,7.87,8,3,2.16,0
"470","TX",32,"area_code_408","no","no",0,157.9,88,26.84,180.8,132,15.37,132.5,102,5.96,12.8,3,3.46,1
"471","CA",72,"area_code_408","no","yes",39,92.8,98,15.78,271.2,115,23.05,167.1,83,7.52,5.8,7,1.57,1
"472","NH",13,"area_code_415","no","no",0,193.2,89,32.84,194.4,90,16.52,186.5,104,8.39,9.7,2,2.62,4
"473","SC",72,"area_code_415","no","no",0,207.8,92,35.33,195.7,110,16.63,184.8,124,8.32,13.1,4,3.54,0
"474","TN",130,"area_code_415","no","yes",12,141.9,92,24.12,228.9,102,19.46,195.1,101,8.78,8.7,5,2.35,0
"475","FL",142,"area_code_415","no","yes",26,220.5,94,37.49,239.5,126,20.36,254.3,109,11.44,5.9,9,1.59,2
"476","HI",87,"area_code_408","no","yes",28,143.5,106,24.4,223.5,147,19,175.4,69,7.89,11.2,5,3.02,0
"477","NE",149,"area_code_415","no","no",0,156,56,26.52,56,116,4.76,163.3,104,7.35,8.9,8,2.4,0
"478","VT",48,"area_code_510","no","no",0,188.4,63,32.03,165.9,89,14.1,205.7,71,9.26,13.2,2,3.56,1
"479","MO",98,"area_code_415","no","no",0,221.2,80,37.6,213.6,104,18.16,291.8,89,13.13,11.9,3,3.21,4
"480","FL",75,"area_code_510","no","yes",26,118.5,86,20.15,213.9,118,18.18,132.6,99,5.97,13.4,3,3.62,2
"481","VT",100,"area_code_415","no","yes",25,215.9,90,36.7,257.9,92,21.92,180.2,157,8.11,11.6,4,3.13,1
"482","LA",155,"area_code_408","no","yes",39,183.3,106,31.16,205.1,101,17.43,263.7,90,11.87,5.1,7,1.38,1
"483","IL",78,"area_code_415","yes","no",0,236.8,141,40.26,265.3,101,22.55,152.4,77,6.86,9.5,2,2.57,1
"484","NJ",153,"area_code_415","no","no",0,193.8,90,32.95,195.3,121,16.6,182.7,108,8.22,8.5,3,2.3,1
"485","IA",92,"area_code_510","no","yes",25,134,112,22.78,206,111,17.51,180.6,118,8.13,9.7,4,2.62,0
"486","NE",154,"area_code_415","no","no",0,191.4,93,32.54,205.4,119,17.46,205.7,121,9.26,10.2,3,2.75,3
"487","ND",94,"area_code_408","no","no",0,174,85,29.58,241.1,114,20.49,207.8,94,9.35,7.9,1,2.13,1
"488","LA",95,"area_code_415","no","no",0,141.1,84,23.99,211.4,108,17.97,103.7,127,4.67,5.9,6,1.59,3
"489","KS",131,"area_code_415","no","yes",28,249.6,87,42.43,227.2,138,19.31,239.9,92,10.8,7.6,3,2.05,3
"490","KS",36,"area_code_510","no","no",0,178.6,83,30.36,213.1,103,18.11,198,119,8.91,10.9,5,2.94,1
"491","NV",180,"area_code_510","no","no",0,139,96,23.63,224.9,64,19.12,170.8,118,7.69,15.7,5,4.24,2
"492","MT",25,"area_code_415","no","no",0,134.3,98,22.83,202.3,109,17.2,195.9,100,8.82,12.6,5,3.4,2
"493","ID",88,"area_code_415","no","yes",31,181.6,91,30.87,213.2,120,18.12,207.8,104,9.35,11.4,4,3.08,1
"494","AK",120,"area_code_415","no","no",0,178.4,97,30.33,168.3,113,14.31,120.5,93,5.42,9.3,9,2.51,1
"495","KS",124,"area_code_510","no","yes",37,161.2,109,27.4,204.2,79,17.36,231.5,87,10.42,8.9,4,2.4,1
"496","WI",91,"area_code_510","no","no",0,217.9,71,37.04,230.1,116,19.56,232.1,110,10.44,10.6,2,2.86,1
"497","CO",105,"area_code_408","no","no",0,270.9,98,46.05,226.2,110,19.23,178.8,60,8.05,8.8,5,2.38,0
"498","AZ",163,"area_code_510","no","no",0,178.7,56,30.38,215.7,79,18.33,152.7,84,6.87,10.6,2,2.86,4
"499","ND",136,"area_code_510","yes","no",0,256.8,90,43.66,230.1,104,19.56,143.6,82,6.46,9.1,10,2.46,3
"500","MN",122,"area_code_415","no","no",0,140.1,120,23.82,231.4,128,19.67,188.1,127,8.46,11.2,5,3.02,2
"501","PA",101,"area_code_415","yes","no",0,193.7,108,32.93,186.6,98,15.86,223,100,10.04,11.6,8,3.13,0
"502","GA",58,"area_code_510","no","no",0,243.1,105,41.33,231.4,108,19.67,180.9,120,8.14,7.8,4,2.11,2
"503","NV",81,"area_code_415","no","no",0,145.4,132,24.72,129.3,91,10.99,186.4,109,8.39,5.2,4,1.4,1
"504","ME",116,"area_code_510","no","no",0,229.3,93,38.98,184.5,111,15.68,168.2,91,7.57,8.8,3,2.38,2
"505","NH",90,"area_code_415","no","no",0,76.1,121,12.94,290.3,73,24.68,236.9,89,10.66,10.8,3,2.92,0
"506","UT",73,"area_code_415","no","no",0,182.3,115,30.99,199.2,97,16.93,120.2,113,5.41,18,5,4.86,1
"507","RI",107,"area_code_510","yes","no",0,194.4,83,33.05,247.8,84,21.06,245.4,93,11.04,11.2,7,3.02,2
"508","WY",95,"area_code_415","no","yes",39,260.8,130,44.34,213.4,111,18.14,195.6,97,8.8,10.1,5,2.73,1
"509","MI",51,"area_code_415","no","no",0,229.7,129,39.05,336,104,28.56,192.8,128,8.68,9.6,1,2.59,1
"510","NY",163,"area_code_408","no","no",0,247.7,77,42.11,269.5,108,22.91,167.3,82,7.53,9.6,7,2.59,0
"511","MN",109,"area_code_408","no","no",0,162.6,138,27.64,154,109,13.09,209.7,118,9.44,11.5,4,3.11,0
"512","MA",56,"area_code_510","no","no",0,253.2,95,43.04,188,116,15.98,142,133,6.39,4.4,4,1.19,1
"513","CA",92,"area_code_408","no","no",0,249.4,118,42.4,211.5,95,17.98,169,116,7.61,9.1,3,2.46,0
"514","GA",76,"area_code_408","no","no",0,203.6,61,34.61,161.7,127,13.74,175.9,97,7.92,8.4,3,2.27,0
"515","ME",79,"area_code_415","no","no",0,213.6,110,36.31,234.9,121,19.97,229.6,157,10.33,8.8,3,2.38,2
"516","IA",46,"area_code_510","no","no",0,199.2,111,33.86,175.1,83,14.88,210.6,84,9.48,10.2,2,2.75,3
"517","CT",137,"area_code_415","no","no",0,115,130,19.55,137.8,83,11.71,224,61,10.08,7.3,4,1.97,3
"518","CO",88,"area_code_510","no","no",0,61.9,78,10.52,262.6,114,22.32,212.5,110,9.56,8.8,2,2.38,3
"519","SD",139,"area_code_510","no","no",0,196,135,33.32,186,146,15.81,153,92,6.89,9.8,1,2.65,3
"520","WA",45,"area_code_510","no","no",0,78.6,106,13.36,187.3,110,15.92,184.2,111,8.29,7.4,5,2,1
"521","WI",90,"area_code_415","no","no",0,200.9,92,34.15,164.3,91,13.97,249,98,11.21,8.9,7,2.4,1
"522","NE",89,"area_code_415","no","yes",29,163.5,80,27.8,274.8,136,23.36,381.9,147,17.19,7.5,5,2.03,2
"523","AR",103,"area_code_415","no","yes",31,185.4,105,31.52,197.6,126,16.8,147.1,110,6.62,14.5,4,3.92,2
"524","DE",2,"area_code_415","yes","no",0,132.1,42,22.46,138.9,88,11.81,192.6,119,8.67,9.1,1,2.46,2
"525","NH",111,"area_code_510","no","no",0,197.1,117,33.51,227.8,128,19.36,214,101,9.63,9.3,11,2.51,0
"526","VA",130,"area_code_408","no","no",0,211.2,119,35.9,231.1,120,19.64,220.9,80,9.94,6.3,9,1.7,2
"527","OK",101,"area_code_408","no","no",0,209.6,107,35.63,228.8,96,19.45,172.4,85,7.76,7.6,2,2.05,3
"528","ID",95,"area_code_415","no","yes",32,247,109,41.99,125.6,91,10.68,226.5,90,10.19,10.5,4,2.84,3
"529","KS",126,"area_code_408","no","no",0,321.3,99,54.62,167.9,93,14.27,193.6,106,8.71,8,4,2.16,1
"530","WY",97,"area_code_510","yes","no",0,236.9,107,40.27,157.6,105,13.4,241,120,10.85,7.3,2,1.97,0
"531","IL",31,"area_code_415","no","yes",28,210.5,101,35.79,250.5,86,21.29,241.6,125,10.87,11.5,2,3.11,1
"532","MD",73,"area_code_510","no","no",0,254.7,80,43.3,90.2,79,7.67,153.4,60,6.9,10.6,8,2.86,0
"533","MA",111,"area_code_415","no","no",0,284.4,89,48.35,157,113,13.35,242.8,91,10.93,8.4,8,2.27,0
"534","SD",98,"area_code_415","no","no",0,0,0,0,159.6,130,13.57,167.1,88,7.52,6.8,1,1.84,4
"535","VT",59,"area_code_408","no","no",0,151.8,98,25.81,209.9,92,17.84,266.9,86,12.01,11.9,5,3.21,1
"536","WA",55,"area_code_408","no","no",0,285.7,124,48.57,230.9,106,19.63,230.7,140,10.38,14.8,7,4,0
"537","LA",13,"area_code_415","no","no",0,58.4,121,9.93,262.2,64,22.29,159,115,7.15,11.9,5,3.21,1
"538","WA",136,"area_code_415","no","yes",16,90.4,105,15.37,201.3,109,17.11,227.1,115,10.22,13.1,4,3.54,0
"539","TX",50,"area_code_408","no","yes",31,302.7,93,51.46,240.5,119,20.44,193.9,103,8.73,13.6,14,3.67,3
"540","ND",51,"area_code_510","no","no",0,227.2,89,38.62,194.4,106,16.52,243.4,126,10.95,14.9,2,4.02,0
"541","HI",35,"area_code_415","no","no",0,124.2,102,21.11,123.9,115,10.53,135.7,100,6.11,13.1,8,3.54,2
"542","OK",117,"area_code_415","no","yes",31,104.9,115,17.83,237.6,125,20.2,263.4,104,11.85,7.7,6,2.08,3
"543","VA",94,"area_code_415","yes","no",0,235.6,131,40.05,194.8,107,16.56,170.6,93,7.68,8.6,4,2.32,1
"544","PA",96,"area_code_510","no","no",0,179.5,125,30.52,162.3,139,13.8,264.5,133,11.9,6.6,2,1.78,1
"545","GA",125,"area_code_415","no","yes",39,236.1,107,40.14,289.2,110,24.58,175.4,107,7.89,9.1,4,2.46,2
"546","VT",72,"area_code_415","no","yes",21,138.1,113,23.48,260.1,83,22.11,135.4,118,6.09,8.2,2,2.21,2
"547","CT",212,"area_code_415","no","no",0,126,96,21.42,144.3,80,12.27,302.8,102,13.63,7.6,3,2.05,1
"548","OH",94,"area_code_510","no","no",0,194.1,62,33,227.2,54,19.31,190.4,115,8.57,15.3,4,4.13,1
"549","NY",40,"area_code_510","no","no",0,115.7,105,19.67,127.8,113,10.86,107.5,91,4.84,9.3,6,2.51,1
"550","NC",170,"area_code_415","no","no",0,246.4,107,41.89,228.1,124,19.39,166.4,95,7.49,9.1,8,2.46,0
"551","MD",140,"area_code_415","yes","yes",27,188.9,124,32.11,160.9,102,13.68,197.7,100,8.9,11.5,5,3.11,4
"552","TX",98,"area_code_408","no","yes",19,110.5,87,18.79,227.8,97,19.36,243.6,84,10.96,11,4,2.97,1
"553","MO",86,"area_code_415","no","no",0,125.5,139,21.34,269.8,93,22.93,235.8,110,10.61,8.9,8,2.4,1
"554","NH",133,"area_code_408","no","no",0,162.1,91,27.56,212.1,94,18.03,260.4,78,11.72,12.2,5,3.29,1
"555","SD",95,"area_code_408","no","yes",20,165.7,78,28.17,215.6,94,18.33,243.3,91,10.95,9.8,6,2.65,0
"556","NV",27,"area_code_510","no","no",0,177.6,121,30.19,296.8,92,25.23,192.9,106,8.68,7.6,3,2.05,3
"557","MI",81,"area_code_415","yes","no",0,149.4,68,25.4,171.9,98,14.61,214.5,97,9.65,17.9,3,4.83,3
"558","WA",78,"area_code_408","no","no",0,140.7,77,23.92,195.2,114,16.59,252.9,107,11.38,11.7,5,3.16,0
"559","RI",176,"area_code_415","no","no",0,250.9,108,42.65,171.4,100,14.57,148.6,85,6.69,9.6,6,2.59,2
"560","AL",96,"area_code_415","yes","no",0,200.6,117,34.1,289.5,120,24.61,98.3,95,4.42,11.2,5,3.02,2
"561","TN",63,"area_code_415","no","no",0,164.5,75,27.97,147.9,118,12.57,252.7,97,11.37,11.2,2,3.02,0
"562","UT",47,"area_code_408","no","yes",37,112.8,150,19.18,243.9,97,20.73,178.7,112,8.04,13.2,6,3.56,2
"563","IL",89,"area_code_415","yes","yes",19,112.6,114,19.14,261.7,132,22.24,123.5,116,5.56,11.1,2,3,0
"564","MI",83,"area_code_510","no","yes",26,226.4,117,38.49,234.7,97,19.95,133.6,82,6.01,10.8,7,2.92,1
"565","SD",113,"area_code_415","yes","no",0,204.3,82,34.73,188.8,115,16.05,139.4,97,6.27,9.2,7,2.48,1
"566","WV",79,"area_code_415","no","no",0,222.3,99,37.79,146.2,82,12.43,275.6,82,12.4,8.9,4,2.4,3
"567","ID",55,"area_code_510","no","yes",8,222.5,104,37.83,171.5,94,14.58,377.5,114,16.99,9.7,2,2.62,1
"568","GA",160,"area_code_415","no","no",0,174.3,105,29.63,171.3,107,14.56,220.8,131,9.94,8.3,2,2.24,0
"569","CO",192,"area_code_415","no","no",0,221.6,101,37.67,285.2,50,24.24,167.4,83,7.53,12.7,6,3.43,4
"570","NV",93,"area_code_408","no","no",0,114.3,100,19.43,221.1,103,18.79,126.3,88,5.68,10.9,9,2.94,0
"571","UT",105,"area_code_415","no","yes",40,236.5,111,40.21,117,110,9.95,221.1,115,9.95,8.1,3,2.19,2
"572","MO",131,"area_code_408","no","no",0,109.5,95,18.62,332.1,48,28.23,258.6,108,11.64,6.6,7,1.78,1
"573","CT",106,"area_code_510","no","yes",33,81.6,120,13.87,235.6,85,20.03,150.9,113,6.79,9.9,4,2.67,1
"574","HI",118,"area_code_415","no","no",0,133.4,113,22.68,121,92,10.29,254.7,129,11.46,5.9,4,1.59,1
"575","MD",125,"area_code_408","no","no",0,137.1,94,23.31,209.8,83,17.83,238.4,114,10.73,8.6,4,2.32,1
"576","VA",95,"area_code_415","no","no",0,197,88,33.49,190.4,68,16.18,211.9,104,9.54,16.1,8,4.35,0
"577","SC",145,"area_code_408","no","no",0,39.5,78,6.72,264.3,106,22.47,185.8,90,8.36,10,6,2.7,0
"578","CO",37,"area_code_408","no","no",0,199.5,107,33.92,207.5,110,17.64,83.9,123,3.78,8.1,4,2.19,2
"579","ID",87,"area_code_415","no","no",0,156.8,93,26.66,215.8,68,18.34,223.3,77,10.05,7.6,6,2.05,1
"580","AL",69,"area_code_415","no","no",0,183.4,85,31.18,237.6,100,20.2,228,94,10.26,9,5,2.43,3
"581","UT",195,"area_code_415","no","no",0,63.2,108,10.74,220.2,88,18.72,184,99,8.28,5.1,3,1.38,0
"582","RI",123,"area_code_415","no","yes",27,218.7,79,37.18,163.4,78,13.89,173.8,116,7.82,15,1,4.05,0
"583","MD",76,"area_code_415","yes","no",0,273.3,66,46.46,263.6,121,22.41,165.2,84,7.43,12,7,3.24,1
"584","IL",86,"area_code_415","yes","no",0,266.1,120,45.24,182,92,15.47,206.5,103,9.29,10.3,4,2.78,1
"585","AZ",70,"area_code_415","no","no",0,104.7,112,17.8,82.2,104,6.99,169.4,110,7.62,15.8,7,4.27,3
"586","NH",121,"area_code_510","no","yes",35,193.8,62,32.95,197.6,97,16.8,218.8,95,9.85,5.9,4,1.59,0
"587","RI",112,"area_code_415","no","no",0,168.6,102,28.66,298,117,25.33,194.7,110,8.76,9.8,5,2.65,1
"588","MD",129,"area_code_415","no","yes",34,204.5,79,34.77,132.8,113,11.29,190.1,117,8.55,14.8,9,4,2
"589","NV",161,"area_code_415","no","no",0,72.8,120,12.38,267.1,120,22.7,222.5,91,10.01,11.8,2,3.19,2
"590","WV",86,"area_code_415","no","no",0,136.4,104,23.19,202.5,110,17.21,230.7,86,10.38,11.5,1,3.11,3
"591","AZ",72,"area_code_510","no","no",0,272.4,88,46.31,107.9,125,9.17,185.5,81,8.35,12.7,2,3.43,0
"592","SC",64,"area_code_510","no","yes",40,210,116,35.7,232.7,89,19.78,168.8,94,7.6,5.9,4,1.59,8
"593","OH",65,"area_code_510","no","no",0,153.9,117,26.16,220.1,122,18.71,280.5,147,12.62,8.5,3,2.3,2
"594","MN",142,"area_code_510","no","yes",40,237.4,105,40.36,175.9,93,14.95,210.3,110,9.46,9.2,3,2.48,3
"595","HI",70,"area_code_415","no","no",0,197.3,91,33.54,305.8,81,25.99,171,105,7.69,6.7,6,1.81,1
"596","MO",22,"area_code_408","no","yes",14,199.1,100,33.85,221.8,103,18.85,65.7,91,2.96,4.2,1,1.13,1
"597","NV",37,"area_code_415","no","no",0,233.7,114,39.73,207.9,109,17.67,212.7,101,9.57,12,2,3.24,2
"598","MA",51,"area_code_415","no","no",0,183.1,99,31.13,160.1,107,13.61,311.8,121,14.03,7,3,1.89,1
"599","FL",130,"area_code_415","no","no",0,207.1,70,35.21,200.1,115,17.01,194.2,100,8.74,12.4,2,3.35,1
"600","CT",134,"area_code_408","no","no",0,177.2,91,30.12,228.7,105,19.44,194.3,113,8.74,8.9,3,2.4,2
"601","NM",103,"area_code_415","no","no",0,173.5,83,29.5,244.3,65,20.77,221.6,66,9.97,9.7,2,2.62,3
"602","NV",162,"area_code_415","no","no",0,115.1,89,19.57,196.8,111,16.73,212.4,98,9.56,11.4,3,3.08,2
"603","ID",42,"area_code_415","no","no",0,92.2,108,15.67,211.2,120,17.95,129.1,73,5.81,13.1,6,3.54,1
"604","OK",155,"area_code_415","no","yes",23,243.9,112,41.46,133,106,11.31,213.7,123,9.62,13.4,11,3.62,2
"605","ME",118,"area_code_408","yes","yes",21,156.5,122,26.61,209.2,125,17.78,158.7,81,7.14,11.1,3,3,4
"606","PA",128,"area_code_408","yes","no",0,245.2,112,41.68,101.5,101,8.63,152.3,116,6.85,10.7,5,2.89,0
"607","DC",81,"area_code_510","yes","no",0,227.4,105,38.66,211.5,120,17.98,258.2,113,11.62,11.9,3,3.21,0
"608","AR",57,"area_code_510","no","no",0,192.8,68,32.78,158,86,13.43,235.5,105,10.6,12.7,6,3.43,1
"609","OH",107,"area_code_510","no","yes",38,219.4,92,37.3,180.5,73,15.34,104.1,91,4.68,11,1,2.97,2
"610","SD",75,"area_code_408","no","no",0,147.5,110,25.08,191.7,97,16.29,135,68,6.08,16.4,3,4.43,2
"611","ID",169,"area_code_415","no","no",0,235.7,79,40.07,136.9,85,11.64,220.9,97,9.94,13.3,10,3.59,1
"612","AZ",122,"area_code_510","no","yes",22,204.5,92,34.77,139.6,121,11.87,205,103,9.23,8.6,5,2.32,2
"613","MS",70,"area_code_408","no","no",0,148.4,110,25.23,267.1,90,22.7,151.5,101,6.82,8.9,4,2.4,0
"614","MN",161,"area_code_415","no","yes",39,218.5,76,37.15,112.7,94,9.58,205.1,121,9.23,7.3,4,1.97,1
"615","VT",137,"area_code_510","no","no",0,97.5,95,16.58,195.8,82,16.64,288.8,78,13,0,0,0,1
"616","CT",123,"area_code_415","no","no",0,128.7,126,21.88,117.6,94,10,198.4,132,8.93,10.8,5,2.92,0
"617","MA",57,"area_code_510","no","no",0,154.2,78,26.21,196.7,85,16.72,253.5,97,11.41,10.1,9,2.73,1
"618","AZ",127,"area_code_415","no","yes",14,143.2,99,24.34,169.9,91,14.44,221.6,77,9.97,11.6,1,3.13,1
"619","VT",94,"area_code_408","no","no",0,118.7,90,20.18,205.1,57,17.43,172.2,100,7.75,10.4,6,2.81,3
"620","SD",78,"area_code_415","no","yes",25,197.4,73,33.56,295.7,113,25.13,211.7,73,9.53,13.2,2,3.56,0
"621","NC",115,"area_code_415","yes","no",0,180,119,30.6,198.8,126,16.9,217.1,70,9.77,12.4,3,3.35,1
"622","AK",76,"area_code_415","no","no",0,143.7,55,24.43,173.1,108,14.71,239.1,95,10.76,5.8,6,1.57,1
"623","NJ",83,"area_code_415","no","no",0,178.8,102,30.4,167.9,84,14.27,178.9,65,8.05,8.6,4,2.32,3
"624","AR",63,"area_code_510","no","yes",49,214.9,86,36.53,198.2,89,16.85,170.8,139,7.69,8.2,5,2.21,0
"625","AR",99,"area_code_510","yes","no",0,242.3,102,41.19,350.9,102,29.83,163.1,93,7.34,11.3,3,3.05,0
"626","ME",105,"area_code_408","no","no",0,115.5,73,19.64,267.3,83,22.72,114.2,90,5.14,13.3,5,3.59,3
"627","IA",73,"area_code_415","no","no",0,137.1,102,23.31,210.8,114,17.92,191.4,120,8.61,11.1,4,3,1
"628","OR",163,"area_code_408","no","yes",25,219.6,99,37.33,210.4,99,17.88,242.7,88,10.92,13.8,8,3.73,2
"629","VT",57,"area_code_415","no","no",0,169.6,96,28.83,234.7,112,19.95,285.4,83,12.84,11.2,4,3.02,0
"630","RI",104,"area_code_408","yes","no",0,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,12.6,5,3.4,4
"631","RI",83,"area_code_415","no","yes",20,95,89,16.15,167.9,92,14.27,200.6,79,9.03,11.2,2,3.02,0
"632","NM",141,"area_code_415","no","no",0,160.1,87,27.22,256.7,120,21.82,270,107,12.15,7,1,1.89,2
"633","MT",184,"area_code_415","no","no",0,236.4,73,40.19,287.3,120,24.42,192,94,8.64,13.8,4,3.73,1
"634","ID",104,"area_code_415","yes","no",0,148.2,108,25.19,161.8,113,13.75,259.3,103,11.67,11,4,2.97,0
"635","ND",154,"area_code_408","no","yes",35,224,102,38.08,192,99,16.32,163.1,100,7.34,9.6,2,2.59,0
"636","ME",130,"area_code_408","no","no",0,176.3,140,29.97,201,104,17.09,161.9,123,7.29,11.3,5,3.05,1
"637","NC",149,"area_code_510","no","no",0,207.3,115,35.24,198.4,82,16.86,114.1,83,5.13,8.6,4,2.32,1
"638","NJ",153,"area_code_510","no","no",0,122.5,145,20.83,273.3,103,23.23,197.8,71,8.9,8,3,2.16,2
"639","MN",65,"area_code_510","no","yes",29,158.1,104,26.88,322.2,81,27.39,210,96,9.45,8.9,6,2.4,1
"640","TN",68,"area_code_415","no","no",0,222.8,99,37.88,175.8,85,14.94,202,111,9.09,11,3,2.97,3
"641","TN",99,"area_code_408","no","no",0,54.8,92,9.32,173,103,14.71,195.1,125,8.78,7.5,3,2.03,1
"642","VA",102,"area_code_510","no","no",0,174.5,79,29.67,236.8,136,20.13,270.4,110,12.17,8.5,5,2.3,0
"643","OK",91,"area_code_408","no","yes",31,273,78,46.41,215.5,98,18.32,104.7,114,4.71,9.6,2,2.59,1
"644","WI",84,"area_code_510","no","yes",12,89.7,87,15.25,138.6,73,11.78,165.8,114,7.46,10.7,2,2.89,1
"645","AL",92,"area_code_408","no","yes",38,242.2,96,41.17,159.7,144,13.57,210,108,9.45,8.9,1,2.4,1
"646","AL",197,"area_code_415","yes","no",0,127.3,80,21.64,222.3,115,18.9,173.9,95,7.83,13.7,5,3.7,5
"647","FL",106,"area_code_415","no","yes",31,197.4,125,33.56,123.4,110,10.49,115.6,101,5.2,12.3,4,3.32,3
"648","KY",88,"area_code_415","no","no",0,148.2,82,25.19,308.7,67,26.24,235.4,79,10.59,6.4,4,1.73,2
"649","UT",78,"area_code_415","no","no",0,193.1,85,32.83,172.1,105,14.63,129.6,119,5.83,10.2,1,2.75,0
"650","NY",98,"area_code_408","no","no",0,171.7,99,29.19,174.8,87,14.86,189.6,130,8.53,7.8,6,2.11,1
"651","VT",95,"area_code_510","no","no",0,203.4,96,34.58,168.6,61,14.33,173,105,7.79,13.7,3,3.7,2
"652","NV",76,"area_code_510","yes","no",0,241,120,40.97,231.8,96,19.7,220.2,67,9.91,9.9,1,2.67,1
"653","WV",93,"area_code_415","no","no",0,141.7,95,24.09,221,100,18.79,227.1,71,10.22,10.2,3,2.75,0
"654","VT",64,"area_code_408","no","no",0,145.5,116,24.74,228.4,110,19.41,273.4,91,12.3,8.9,8,2.4,1
"655","KY",115,"area_code_510","no","no",0,99.7,107,16.95,145.1,96,12.33,149.4,99,6.72,14.1,4,3.81,2
"656","MN",98,"area_code_415","no","no",0,72.8,107,12.38,186.4,103,15.84,175.3,110,7.89,10.5,4,2.84,3
"657","OR",95,"area_code_415","no","no",0,269,120,45.73,233.7,120,19.86,179.3,61,8.07,7.3,4,1.97,2
"658","PA",79,"area_code_415","no","no",0,268.3,114,45.61,185.5,111,15.77,264.6,88,11.91,6.3,7,1.7,1
"659","TX",133,"area_code_408","no","no",0,221.1,133,37.59,160.2,140,13.62,161.8,84,7.28,8.4,3,2.27,4
"660","MA",34,"area_code_415","no","no",0,293.7,89,49.93,272.5,71,23.16,178.2,76,8.02,11,10,2.97,2
"661","FL",144,"area_code_510","no","no",0,278.5,95,47.35,240.7,90,20.46,120,90,5.4,11.6,5,3.13,1
"662","ID",24,"area_code_408","no","yes",29,236.3,105,40.17,190.8,114,16.22,129,105,5.81,7.2,2,1.94,3
"663","WV",50,"area_code_408","no","no",0,131.1,129,22.29,160.5,94,13.64,206.9,88,9.31,5.6,9,1.51,5
"664","NV",96,"area_code_408","no","no",0,197.7,68,33.61,250.5,53,21.29,181.2,67,8.15,10.5,3,2.84,3
"665","MO",76,"area_code_510","no","no",0,129.7,84,22.05,177.5,80,15.09,228.9,87,10.3,7.5,3,2.03,5
"666","NE",99,"area_code_415","no","no",0,200,66,34,107.9,104,9.17,233.7,82,10.52,11.4,2,3.08,3
"667","NC",83,"area_code_510","no","yes",36,95.9,87,16.3,261.6,105,22.24,228.6,109,10.29,13.3,4,3.59,0
"668","ME",36,"area_code_510","no","yes",25,152.8,110,25.98,242.8,67,20.64,147.4,74,6.63,9.1,2,2.46,1
"669","MS",84,"area_code_510","no","no",0,75.3,96,12.8,179.9,113,15.29,193.8,134,8.72,12.3,1,3.32,1
"670","SC",100,"area_code_510","no","no",0,115.9,87,19.7,111.3,56,9.46,170.2,77,7.66,7.1,4,1.92,1
"671","WV",50,"area_code_510","no","no",0,131.7,108,22.39,216.5,103,18.4,196.1,126,8.82,11,5,2.97,1
"672","MS",105,"area_code_415","no","no",0,101.4,48,17.24,159.1,119,13.52,259.2,53,11.66,12.2,2,3.29,1
