"","state","account_length","area_code","international_plan","voice_mail_plan","number_vmail_messages","total_day_calls","total_day_charge","total_eve_minutes","total_eve_calls","total_night_calls","total_night_charge","total_intl_minutes","total_intl_calls","number_customer_service_calls","churn","vmail_flag","number"
"828","UT",103,"area_code_510","no","yes",36,92,14.82,169.3,110,80,7.5,10.9,5,6,"yes","yes",1.6094379124341
"829","VT",101,"area_code_510","no","no",0,0,0,192.1,119,95,7.6,7.2,4,1,"no","no",1.38629436111989
"830","DC",88,"area_code_415","no","yes",17,78,37.32,222.1,94,92,8.47,16.1,5,1,"no","yes",1.6094379124341
"831","LA",172,"area_code_408","no","no",0,121,36.04,31.2,115,78,13.2,12.6,10,3,"no","no",2.30258509299405
"832","KS",117,"area_code_415","no","no",0,83,31.42,248.6,101,113,5.99,9.6,8,1,"no","no",2.07944154167984
"833","DC",123,"area_code_415","no","no",0,92,35.87,217,102,104,9.67,9.8,7,3,"no","no",1.94591014905531
"834","WI",133,"area_code_415","no","no",0,137,19.26,160.2,103,98,10.3,10.1,7,2,"no","no",1.94591014905531
"835","MT",96,"area_code_415","no","no",0,98,16.59,105.5,118,105,9.91,11.6,9,1,"no","no",2.19722457733622
"836","WA",110,"area_code_510","no","no",0,100,31.47,165.1,88,104,5.02,6.3,4,3,"no","no",1.38629436111989
"837","AL",98,"area_code_408","no","no",0,94,35.19,256.3,64,60,6.19,10.4,4,2,"no","no",1.38629436111989
"838","VT",84,"area_code_415","no","yes",42,112,36.43,188.2,107,117,15.01,11.3,10,0,"no","yes",2.30258509299405
"839","NM",177,"area_code_408","no","yes",29,91,32.13,303.1,96,116,7.36,15.7,1,3,"no","yes",0
"840","VT",146,"area_code_510","yes","no",0,135,34.75,219.1,90,114,10.02,10.5,6,3,"no","no",1.79175946922805
"841","SD",87,"area_code_510","yes","no",0,113,35.33,182.2,129,98,7.35,13,3,1,"no","no",1.09861228866811
"842","MA",127,"area_code_408","yes","no",0,110,30.07,167.9,100,138,8.2,7.7,2,1,"yes","no",0.693147180559945
"843","MN",116,"area_code_510","no","no",0,82,34.31,231.5,95,130,10.17,16.5,5,0,"no","no",1.6094379124341
"844","TX",70,"area_code_415","no","no",0,95,39.58,303.4,111,104,11.5,12.9,7,0,"yes","no",1.94591014905531
"845","NM",102,"area_code_510","no","yes",18,76,24.55,160.7,97,101,9.04,9.3,4,0,"no","yes",1.38629436111989
"846","SD",85,"area_code_408","no","no",0,82,35.67,194.5,94,85,9.02,11.3,3,0,"no","no",1.09861228866811
"847","WI",137,"area_code_510","no","no",0,81,26.44,133.1,94,77,11.39,9.1,2,1,"no","no",0.693147180559945
"848","IA",113,"area_code_510","no","no",0,141,26.52,256.8,72,123,7.89,11.9,5,2,"no","no",1.6094379124341
"849","FL",41,"area_code_415","no","yes",41,95,35.24,137.3,120,74,5.21,5.9,3,1,"no","yes",1.09861228866811
"850","ME",80,"area_code_408","no","no",0,113,54.79,222,95,123,7.33,6.7,8,0,"yes","no",2.07944154167984
"851","OH",98,"area_code_408","no","no",0,129,28.05,202.6,113,94,7.75,12.5,7,1,"yes","no",1.94591014905531
"852","MD",102,"area_code_415","no","no",0,80,46.09,172,133,105,7.61,10.3,5,1,"no","no",1.6094379124341
"853","WY",171,"area_code_415","no","no",0,135,39.3,188.7,74,124,9.31,12.3,1,1,"no","no",0
"854","DE",112,"area_code_408","no","no",0,119,17.19,214.4,67,112,8.08,10.3,5,2,"no","no",1.6094379124341
"855","UT",37,"area_code_510","no","no",0,112,46.19,155.1,96,97,8.98,6.6,4,3,"no","no",1.38629436111989
"856","NH",94,"area_code_415","no","no",0,115,19.45,183.9,79,78,9.23,5.9,2,3,"no","no",0.693147180559945
"857","NV",102,"area_code_415","no","no",0,87,24.55,266.5,128,59,9.79,7.1,7,0,"no","no",1.94591014905531
"858","NY",94,"area_code_510","yes","no",0,109,41.34,147,88,99,4.27,7.2,4,4,"no","no",1.38629436111989
"859","VA",133,"area_code_408","no","yes",39,107,40.78,253.8,77,85,5.79,6.7,3,5,"no","yes",1.09861228866811
"860","WA",157,"area_code_415","no","no",0,105,25.96,257.5,80,93,8.91,9.4,4,1,"no","no",1.38629436111989
"861","MA",108,"area_code_415","no","no",0,137,30.31,189,76,102,5.81,14.6,5,0,"no","no",1.6094379124341
"862","NV",105,"area_code_408","no","no",0,103,16.69,140.3,91,106,6.31,13.9,1,1,"no","no",0
"863","MS",53,"area_code_510","no","no",0,100,33.71,304.2,93,85,5.92,9.2,5,2,"no","no",1.6094379124341
"864","MS",122,"area_code_408","no","yes",45,85,25.13,147.4,93,110,9.16,14,5,1,"no","yes",1.6094379124341
"865","WV",82,"area_code_510","no","no",0,96,34.49,234.2,105,123,9.78,10.1,3,4,"no","no",1.09861228866811
"866","FL",100,"area_code_415","no","no",0,93,51.51,175.6,89,102,6.08,10.4,5,1,"yes","no",1.6094379124341
"867","HI",49,"area_code_510","no","no",0,117,20.28,215.1,109,90,8.04,11.1,1,1,"no","no",0
"868","TN",108,"area_code_510","no","yes",34,83,27.56,171.8,117,76,11.69,9.6,3,4,"yes","yes",1.09861228866811
"869","MT",160,"area_code_415","no","no",0,113,16.58,268.1,69,62,11.49,13.2,4,3,"no","no",1.38629436111989
"870","MA",58,"area_code_408","no","yes",47,117,25.69,137.4,103,99,7.77,9.2,8,1,"no","yes",2.07944154167984
"871","PA",147,"area_code_510","no","yes",35,123,18.84,199.2,81,77,9.58,8.9,4,2,"no","yes",1.38629436111989
"872","WV",90,"area_code_415","no","no",0,138,34.97,161.9,83,104,12.14,12.5,6,2,"no","no",1.79175946922805
"873","NM",20,"area_code_408","no","no",0,64,22.36,161.8,124,106,7.14,14.8,5,0,"no","no",1.6094379124341
"874","MT",72,"area_code_415","no","no",0,73,43.01,219.3,78,89,9.49,9.8,4,0,"no","no",1.38629436111989
"875","TX",145,"area_code_510","no","no",0,120,27,352.1,145,140,7.99,6.2,6,2,"no","no",1.79175946922805
"876","ND",102,"area_code_510","no","no",0,85,11.85,226.5,107,104,5.78,11.1,2,2,"no","no",0.693147180559945
"877","ID",174,"area_code_408","no","no",0,97,32.66,169.9,94,54,7.5,11.4,4,1,"no","no",1.38629436111989
"878","ND",87,"area_code_415","yes","yes",40,79,37.67,157.1,74,124,10.01,11.5,3,1,"no","yes",1.09861228866811
"879","IL",103,"area_code_408","no","no",0,81,25.04,158.4,88,103,8.72,11,3,2,"no","no",1.09861228866811
"880","MS",126,"area_code_415","no","no",0,102,38.88,168.7,99,100,10.06,11.8,4,1,"no","no",1.38629436111989
"881","IN",68,"area_code_415","no","no",0,107,37.76,199.4,102,107,7.31,9.4,3,2,"no","no",1.09861228866811
"882","IN",66,"area_code_408","no","no",0,112,41.09,251.6,78,82,4.72,11.3,2,2,"no","no",0.693147180559945
"883","KY",59,"area_code_510","no","no",0,92,26.44,192.3,104,106,5.55,10.5,3,4,"yes","no",1.09861228866811
"884","IN",58,"area_code_415","no","yes",22,127,38.1,238.8,85,86,7.84,11.5,7,2,"no","yes",1.94591014905531
"885","KS",130,"area_code_510","no","no",0,95,26.18,205.9,106,75,10.52,12.9,1,1,"no","no",0
"886","NY",115,"area_code_510","no","yes",16,110,22.66,185.7,111,113,7.27,5.6,4,2,"no","yes",1.38629436111989
"887","CT",77,"area_code_415","no","no",0,87,41.68,254.1,83,91,10.77,7.5,4,0,"yes","no",1.38629436111989
"888","CT",134,"area_code_408","no","yes",32,94,13.65,199.9,124,117,7.69,16.6,3,0,"no","yes",1.09861228866811
"889","GA",128,"area_code_408","yes","yes",18,89,37.76,160.6,109,102,9.85,13.6,2,0,"yes","yes",0.693147180559945
"890","IL",127,"area_code_510","no","no",0,108,37.43,188.4,124,113,7.77,11.7,3,2,"no","no",1.09861228866811
"891","TN",74,"area_code_415","no","yes",25,113,39.85,265.9,82,77,10.86,13.7,4,0,"no","yes",1.38629436111989
"892","AL",72,"area_code_415","no","no",0,102,28.31,261,103,85,11.82,13.3,5,0,"no","no",1.6094379124341
"893","CT",107,"area_code_408","no","no",0,94,17.58,189.3,125,125,10.22,14.4,3,1,"no","no",1.09861228866811
"894","ME",66,"area_code_408","no","yes",26,108,43.33,243.2,135,95,8.59,5.4,3,2,"no","yes",1.09861228866811
"895","VT",162,"area_code_510","no","no",0,117,37.5,155.2,121,89,8.4,10.5,11,1,"no","no",2.39789527279837
"896","ID",40,"area_code_510","no","no",0,105,24.89,196.4,143,123,10.6,9.4,3,3,"no","no",1.09861228866811
"897","NV",144,"area_code_415","yes","no",0,69,25.5,285.9,73,121,8.58,9.4,15,0,"no","no",2.70805020110221
"898","VT",122,"area_code_510","no","no",0,60,36.81,250.3,140,99,11.12,5.7,6,2,"no","no",1.79175946922805
"899","WY",94,"area_code_408","no","no",0,109,35.19,167.4,80,117,10.72,2.6,6,1,"no","no",1.79175946922805
"900","DE",87,"area_code_415","no","no",0,72,30.12,248.9,105,87,9.04,8.6,7,3,"no","no",1.94591014905531
"901","IN",99,"area_code_415","yes","no",0,127,33.52,156,92,99,9.18,9.9,6,4,"no","no",1.79175946922805
"902","DE",78,"area_code_408","no","no",0,140,23.66,191.4,113,125,12.89,11.8,3,3,"no","no",1.09861228866811
"903","MO",138,"area_code_415","no","yes",29,87,32.32,223.2,123,130,11.53,14.2,6,0,"no","yes",1.79175946922805
"904","MD",163,"area_code_408","no","no",0,120,37.91,227,98,125,8.47,8.8,5,1,"no","no",1.6094379124341
"905","CO",125,"area_code_415","no","no",0,97,22.41,136.7,100,119,13.87,7.7,6,2,"no","no",1.79175946922805
"906","VT",67,"area_code_408","no","no",0,107,44.27,208.2,104,115,9.36,10,2,6,"no","no",0.693147180559945
"907","MA",132,"area_code_408","no","yes",36,93,34.32,156.3,75,92,5.91,13.7,5,0,"no","yes",1.6094379124341
"908","MA",90,"area_code_408","no","no",0,72,26.84,234,93,86,9.45,12.2,5,2,"no","no",1.6094379124341
"909","UT",81,"area_code_415","no","yes",24,117,22.12,196,61,123,6.27,11.4,5,0,"no","yes",1.6094379124341
"910","SD",144,"area_code_408","no","yes",48,96,32.27,123.4,67,106,9.64,6.5,2,2,"yes","yes",0.693147180559945
"911","AK",108,"area_code_415","no","no",0,129,17.51,242.3,103,89,7.66,7.9,3,1,"no","no",1.09861228866811
"912","ME",149,"area_code_408","no","no",0,79,40.39,192.4,107,111,9.33,9.1,9,0,"no","no",2.19722457733622
"913","ME",78,"area_code_415","no","no",0,93,42.99,178.4,112,105,11.88,9.5,7,3,"no","no",1.94591014905531
"914","VT",152,"area_code_510","no","yes",20,108,36.48,96.6,82,145,7.68,7.9,5,1,"no","yes",1.6094379124341
"915","CO",109,"area_code_510","no","no",0,106,25.6,147.4,108,109,7.79,9.5,5,1,"no","no",1.6094379124341
"916","AK",126,"area_code_415","no","yes",31,88,47.26,253.2,65,114,10.04,8.7,4,0,"no","yes",1.38629436111989
"917","MN",141,"area_code_408","no","no",0,123,13.23,144.4,119,65,3.39,5.7,7,1,"no","no",1.94591014905531
"918","ME",56,"area_code_408","no","no",0,112,37.72,278.2,122,85,12.96,7.1,5,0,"yes","no",1.6094379124341
"919","ND",153,"area_code_415","no","yes",31,130,37.15,134.2,103,105,5.35,9.4,6,0,"no","yes",1.79175946922805
"920","NM",55,"area_code_510","no","no",0,100,48.74,134.4,121,122,8.68,6.9,5,2,"no","no",1.6094379124341
"921","IN",76,"area_code_415","no","yes",35,94,46.53,153.3,101,109,11.66,3.8,3,0,"no","yes",1.09861228866811
"922","AR",109,"area_code_415","no","yes",29,90,18.9,263.5,98,128,10.11,9,6,6,"yes","yes",1.79175946922805
"923","OH",136,"area_code_415","no","yes",31,88,24.33,236.6,65,120,10.25,11.4,5,2,"no","yes",1.6094379124341
"924","WV",51,"area_code_408","no","no",0,111,28.78,139.5,69,87,8.87,12,3,0,"no","no",1.09861228866811
"925","VT",155,"area_code_510","no","no",0,109,38.05,233.4,68,111,9.07,8.8,8,1,"no","no",2.07944154167984
"926","KS",24,"area_code_510","no","yes",41,80,31.81,286.1,77,107,8.46,10.4,2,1,"no","yes",0.693147180559945
"927","MA",133,"area_code_415","no","no",0,106,35.21,283.5,124,107,2.93,10.5,2,3,"no","no",0.693147180559945
"928","MT",185,"area_code_408","no","yes",29,121,25.69,244.7,88,91,6.95,13.8,2,2,"no","yes",0.693147180559945
"929","OK",89,"area_code_510","no","no",0,95,51.66,260.9,114,89,14.04,5.3,3,1,"yes","no",1.09861228866811
"930","NJ",138,"area_code_408","no","no",0,93,41.11,170.5,83,104,13.29,11.8,7,3,"no","no",1.94591014905531
"931","ME",99,"area_code_415","no","no",0,102,37.81,185.8,89,81,10.7,12,8,2,"no","no",2.07944154167984
"932","OH",123,"area_code_408","no","yes",39,99,45.97,245.1,110,113,4.9,15.4,7,1,"no","yes",1.94591014905531
"933","CT",93,"area_code_415","no","no",0,101,46.09,237.4,133,103,6.54,8.4,6,1,"yes","no",1.79175946922805
"934","SC",109,"area_code_415","no","yes",46,123,36.98,233.7,84,99,7.38,9,3,4,"no","yes",1.09861228866811
"935","ID",103,"area_code_415","no","no",0,151,29.7,148,56,109,7.57,15.8,3,6,"yes","no",1.09861228866811
"936","MT",111,"area_code_415","no","no",0,82,38.47,178.9,101,90,8.17,8.9,4,0,"no","no",1.38629436111989
"937","MI",79,"area_code_510","no","no",0,107,37.55,192.2,97,74,7.25,12.2,2,1,"no","no",0.693147180559945
"938","RI",94,"area_code_415","no","no",0,50,24.19,231.5,142,79,9.25,5.5,3,1,"no","no",1.09861228866811
"939","MD",136,"area_code_415","no","no",0,121,42.53,267.1,118,114,6.8,13,2,1,"yes","no",0.693147180559945
"940","AR",107,"area_code_415","yes","no",0,106,22.66,182.9,89,123,10.85,12.9,2,3,"yes","no",0.693147180559945
"941","WA",84,"area_code_415","no","no",0,100,49.15,233.8,97,148,10.06,12.7,2,2,"yes","no",0.693147180559945
"942","LA",51,"area_code_415","no","no",0,129,30.04,218.9,125,51,8.28,9.1,4,0,"no","no",1.38629436111989
"943","LA",109,"area_code_415","no","yes",27,85,28.37,221.2,92,97,8.88,12.3,4,1,"yes","yes",1.38629436111989
"944","MN",139,"area_code_510","no","no",0,106,22.85,211.3,98,125,8.71,10.2,2,5,"yes","no",0.693147180559945
"945","FL",106,"area_code_408","no","yes",32,126,28.2,216.5,93,86,7.79,14.1,8,4,"no","yes",2.07944154167984
"946","AR",41,"area_code_415","no","no",0,114,17.49,107.9,119,99,12.49,11,4,6,"yes","no",1.38629436111989
"947","ND",84,"area_code_510","no","no",0,144,38.57,201.6,122,121,5.86,13.2,5,2,"no","no",1.6094379124341
"948","MS",111,"area_code_415","no","yes",36,123,16.46,170.6,105,85,7.47,13.4,4,2,"no","yes",1.38629436111989
"949","ME",73,"area_code_408","no","no",0,112,46.31,252.2,91,112,11.49,10.9,5,1,"yes","no",1.6094379124341
"950","UT",116,"area_code_415","no","yes",44,94,39.2,224.1,103,76,10.98,11.1,2,0,"no","yes",0.693147180559945
"951","WV",92,"area_code_415","no","yes",47,95,24.07,207.9,130,95,9.16,10.2,11,0,"no","yes",2.39789527279837
"952","MD",172,"area_code_408","no","no",0,108,48.81,178.4,125,98,6.89,14.4,2,3,"yes","no",0.693147180559945
"953","NC",75,"area_code_408","no","no",0,101,29.02,193.1,126,104,5.81,6.9,7,1,"no","no",1.94591014905531
"954","LA",96,"area_code_408","no","no",0,74,17.36,93.7,88,125,10.63,14,2,1,"no","no",0.693147180559945
"955","NV",124,"area_code_415","no","no",0,61,39.85,179.3,111,117,12.85,10.4,6,3,"no","no",1.79175946922805
"956","FL",36,"area_code_510","no","no",0,77,33.24,156.3,108,133,9.8,7.3,2,1,"no","no",0.693147180559945
"957","LA",154,"area_code_510","no","no",0,99,28.37,154.9,97,89,8.52,7.2,5,0,"no","no",1.6094379124341
"958","AL",12,"area_code_408","no","no",0,112,40.75,221.1,122,109,9.33,11.1,3,2,"no","no",1.09861228866811
"959","SC",102,"area_code_408","no","no",0,73,29.67,213.7,114,116,7.41,10.3,5,4,"no","no",1.6094379124341
"960","VA",81,"area_code_510","no","no",0,84,44.85,162.8,107,94,6.74,8.7,6,2,"no","no",1.79175946922805
"961","ID",119,"area_code_415","no","no",0,117,39.17,225,101,111,8.93,7.6,6,3,"no","no",1.79175946922805
"962","MI",52,"area_code_510","no","no",0,100,37.23,148.9,110,129,6.83,11.9,8,3,"no","no",2.07944154167984
"963","GA",96,"area_code_408","no","yes",26,108,21.51,123.8,114,98,13.88,13.1,6,2,"no","yes",1.79175946922805
"964","WI",120,"area_code_415","no","yes",29,140,41.53,322.3,89,83,7.51,10.6,6,0,"no","yes",1.79175946922805
"965","AR",71,"area_code_415","no","yes",27,118,25.7,228,82,113,7.64,5.6,17,0,"no","yes",2.83321334405622
"966","NC",117,"area_code_510","no","no",0,94,36.45,138,149,102,6.69,9.9,1,2,"no","no",0
"967","NY",209,"area_code_415","no","no",0,105,26.13,188.6,87,95,9.04,10.7,2,0,"no","no",0.693147180559945
"968","WY",90,"area_code_408","no","yes",39,89,16.12,219.1,91,65,8.88,11.4,5,1,"no","yes",1.6094379124341
"969","DC",11,"area_code_415","no","yes",28,86,32.4,220.1,122,80,8.11,6,3,3,"no","yes",1.09861228866811
"970","WY",131,"area_code_510","no","no",0,74,18.85,115.6,90,114,8.57,15.8,9,1,"no","no",2.19722457733622
"971","WV",123,"area_code_415","no","no",0,78,29.87,184.6,96,92,7.06,9.1,2,2,"no","no",0.693147180559945
"972","MO",110,"area_code_408","no","no",0,94,37.86,105.8,98,78,9.67,13.5,4,1,"no","no",1.38629436111989
"973","MA",126,"area_code_408","no","yes",24,125,10.01,305.5,90,73,7.15,12.1,6,0,"no","yes",1.79175946922805
"974","MN",132,"area_code_510","no","yes",33,84,26.84,163.9,109,87,9.69,11.5,3,3,"no","yes",1.09861228866811
"975","WV",82,"area_code_408","no","no",0,116,24.43,170.7,99,95,12.95,7.8,5,1,"no","no",1.6094379124341
"976","NY",114,"area_code_408","no","no",0,152,23.77,215.9,76,111,4.36,7.9,10,2,"no","no",2.30258509299405
"977","OK",46,"area_code_415","no","no",0,116,27.91,196.2,153,119,10.62,8.1,1,1,"no","no",0
"978","MA",150,"area_code_408","no","yes",27,112,35.67,155,80,111,11.32,7.2,6,0,"no","yes",1.79175946922805
"979","MD",106,"area_code_510","no","no",0,95,36.36,151.9,70,124,11.7,12.2,5,3,"no","no",1.6094379124341
"980","GA",141,"area_code_510","no","yes",23,112,25.45,162.5,118,115,9.91,7.6,2,3,"no","yes",0.693147180559945
"981","NY",112,"area_code_415","no","yes",17,94,20.4,79.5,104,94,9.63,8.7,1,1,"no","yes",0
"982","WV",120,"area_code_510","no","no",0,123,32.74,206.4,105,93,12.74,10.8,3,1,"no","no",1.09861228866811
"983","NM",146,"area_code_415","no","no",0,89,26.76,196,117,150,6.65,10.8,4,0,"no","no",1.38629436111989
"984","VT",99,"area_code_415","no","no",0,75,19.64,218.1,111,98,11.47,11.5,7,7,"yes","no",1.94591014905531
"985","WV",63,"area_code_510","no","no",0,69,44.51,245,135,94,9.09,14.7,4,0,"yes","no",1.38629436111989
"986","AL",200,"area_code_408","no","no",0,87,21.79,133.2,105,123,7.99,11.2,2,1,"no","no",0.693147180559945
"987","WA",111,"area_code_510","no","no",0,114,25.87,137.2,102,97,8.37,9.8,3,0,"no","no",1.09861228866811
"988","LA",108,"area_code_415","no","no",0,83,26.74,162.8,75,101,5.04,9.7,4,1,"no","no",1.38629436111989
"989","OK",74,"area_code_415","no","no",0,87,34.07,309.2,105,118,6.84,10,2,1,"no","no",0.693147180559945
"990","FL",159,"area_code_415","no","yes",15,102,19.36,145.3,146,137,8.78,11.8,9,1,"no","yes",2.19722457733622
"991","AZ",104,"area_code_408","no","no",0,116,28.49,219.2,112,94,9.72,11.7,2,4,"no","no",0.693147180559945
"992","RI",180,"area_code_415","no","no",0,134,24.36,180.5,113,87,8.29,10.1,4,1,"no","no",1.38629436111989
"993","HI",97,"area_code_415","no","yes",43,105,20.59,260.2,115,100,10.01,8.3,5,3,"no","yes",1.6094379124341
"994","IL",90,"area_code_415","no","yes",29,106,31.55,219.7,113,120,6.84,11.1,5,2,"no","yes",1.6094379124341
"995","WI",141,"area_code_415","no","yes",33,127,28.63,185.1,106,78,9.9,11,4,2,"no","yes",1.38629436111989
"996","NJ",85,"area_code_415","no","no",0,93,40.27,197.7,113,78,13.91,11.4,7,2,"yes","no",1.94591014905531
"997","NH",82,"area_code_408","no","no",0,94,26.52,295.6,118,84,8.86,14.3,3,0,"no","no",1.09861228866811
"998","WA",105,"area_code_415","no","no",0,105,22.49,144.5,89,127,8.8,5.4,3,0,"no","no",1.09861228866811
"999","ID",65,"area_code_408","no","no",0,95,16.32,117,82,114,7.78,6.7,3,3,"no","no",1.09861228866811
"1000","MN",101,"area_code_415","no","no",0,115,31.26,255.9,101,145,12.38,10.8,11,1,"no","no",2.39789527279837
"1001","WI",62,"area_code_415","no","no",0,84,14.67,238.7,99,79,10.73,12.5,1,2,"no","no",0
"1002","NC",52,"area_code_408","yes","no",0,60,24.57,296.5,129,117,8.74,12.4,3,1,"no","no",1.09861228866811
"1003","OR",49,"area_code_510","no","no",0,69,20.3,273.3,92,153,9.65,12.4,7,2,"no","no",1.94591014905531
"1004","GA",98,"area_code_408","no","no",0,102,21.47,166.8,85,135,8.45,9.4,2,3,"no","no",0.693147180559945
"1005","NJ",46,"area_code_408","no","no",0,67,43.76,261.1,91,107,9.2,13.4,5,2,"yes","no",1.6094379124341
"1006","VA",66,"area_code_415","no","no",0,105,24.75,250.9,82,102,7.05,12.2,7,1,"no","no",1.94591014905531
"1007","CO",63,"area_code_415","no","no",0,84,36.01,230.9,137,99,9.77,10.7,9,3,"no","no",2.19722457733622
"1008","AL",118,"area_code_510","yes","no",0,98,37.98,220.6,101,118,9.18,6.3,6,0,"no","no",1.79175946922805
"1009","MT",116,"area_code_415","no","yes",35,122,31.08,212.7,119,103,8.72,11,2,1,"no","yes",0.693147180559945
"1010","WV",85,"area_code_415","no","no",0,75,19.87,183.3,109,119,13.83,10,8,2,"no","no",2.07944154167984
"1011","DE",108,"area_code_510","no","no",0,99,28.83,264.1,87,78,9.28,9.3,4,0,"no","no",1.38629436111989
"1012","DC",78,"area_code_415","yes","no",0,107,30.02,179.4,98,80,8.02,16.6,5,2,"yes","no",1.6094379124341
"1013","TX",64,"area_code_415","no","no",0,116,28.56,192.4,94,98,7.49,10.1,3,2,"no","no",1.09861228866811
"1014","WV",104,"area_code_415","no","no",0,123,38.4,162.8,106,85,12.24,10.1,4,1,"no","no",1.38629436111989
"1015","AR",173,"area_code_408","no","no",0,81,26.28,147.3,100,99,5.98,6.9,5,0,"no","no",1.6094379124341
"1016","MA",129,"area_code_510","yes","no",0,131,32.79,185.5,101,130,9.23,10.9,4,1,"no","no",1.38629436111989
"1017","UT",110,"area_code_408","no","no",0,102,32.74,178.9,118,74,9.66,9.4,4,1,"no","no",1.38629436111989
"1018","NH",141,"area_code_415","no","yes",32,92,54.81,283.2,107,111,9.43,6.7,3,1,"yes","yes",1.09861228866811
"1019","OH",137,"area_code_408","no","no",0,90,24.48,181.6,100,93,5.76,12.3,2,0,"no","no",0.693147180559945
"1020","NH",127,"area_code_415","yes","no",0,107,55.13,141.6,90,90,9.34,12.8,7,1,"yes","no",1.94591014905531
"1021","AL",65,"area_code_415","no","no",0,109,24.53,331.3,89,69,6.99,11.8,15,3,"no","no",2.70805020110221
"1022","SC",127,"area_code_510","no","yes",33,94,30.69,241.9,107,113,10.14,7.4,2,1,"no","yes",0.693147180559945
"1023","TN",137,"area_code_408","no","no",0,107,12.89,256.9,98,118,9.2,10.5,3,2,"no","no",1.09861228866811
"1024","NC",49,"area_code_415","no","no",0,104,32.28,247.4,120,113,7.19,10.1,6,1,"no","no",1.79175946922805
"1025","AR",109,"area_code_510","no","no",0,102,26.03,234.1,77,74,14.81,9.9,9,3,"no","no",2.19722457733622
"1026","KS",57,"area_code_415","no","yes",37,76,34.2,280.1,122,110,6.94,11.8,1,1,"no","yes",0
"1027","VA",121,"area_code_510","no","yes",28,94,18.7,141.5,76,87,10.68,6.4,3,2,"no","yes",1.09861228866811
"1028","MO",126,"area_code_510","no","no",0,105,25.64,157.1,85,102,9.45,10.7,3,0,"no","no",1.09861228866811
"1029","TN",176,"area_code_415","no","yes",23,130,48.14,162.6,74,104,8,7.2,6,1,"no","yes",1.79175946922805
"1030","AZ",145,"area_code_415","no","yes",10,100,32.42,177.7,114,100,7.53,12.8,2,0,"no","yes",0.693147180559945
"1031","TN",121,"area_code_510","no","yes",26,91,28.97,254.5,90,122,9.88,15.1,5,0,"no","yes",1.6094379124341
"1032","WY",117,"area_code_415","no","no",0,118,39.92,211.7,112,97,6.61,7.5,3,2,"no","no",1.09861228866811
"1033","OK",172,"area_code_408","no","no",0,109,34.66,234,123,65,7.23,17.8,4,4,"no","no",1.38629436111989
"1034","WI",101,"area_code_415","no","no",0,102,42.26,174.9,93,86,9.32,6.1,3,3,"no","no",1.09861228866811
"1035","NH",50,"area_code_408","no","no",0,102,26.3,298,108,95,9.46,11.1,3,0,"no","no",1.09861228866811
"1036","NM",53,"area_code_415","no","no",0,102,24.45,199.6,124,65,8,7.8,4,1,"no","no",1.38629436111989
"1037","TX",136,"area_code_408","no","no",0,106,45.87,228.8,101,106,11.59,10.1,8,1,"yes","no",2.07944154167984
"1038","LA",24,"area_code_415","yes","no",0,126,39.19,184.7,128,152,7.16,10.6,3,1,"no","no",1.09861228866811
"1039","LA",85,"area_code_510","no","no",0,107,22.66,185,101,99,13.01,9.1,4,3,"no","no",1.38629436111989
"1040","DE",121,"area_code_408","no","no",0,74,36.65,192.9,98,103,6.48,10.1,4,5,"no","no",1.38629436111989
"1041","ID",173,"area_code_510","no","yes",21,96,39.51,211.9,118,102,12.29,5,5,3,"no","yes",1.6094379124341
"1042","RI",70,"area_code_415","no","no",0,96,22.9,235.9,90,113,11.71,7.6,6,3,"no","no",1.79175946922805
"1043","ID",99,"area_code_415","no","no",0,103,34.26,124.2,120,56,10.8,11.5,3,0,"no","no",1.09861228866811
"1044","MI",109,"area_code_415","yes","yes",26,138,36.92,145.5,111,76,12.63,9.3,3,0,"no","yes",1.09861228866811
"1045","NY",119,"area_code_408","no","no",0,131,26.04,116.6,85,74,9.83,10.1,5,1,"no","no",1.6094379124341
"1046","MN",100,"area_code_415","yes","no",0,94,27.18,179.9,95,102,6.95,11.6,2,2,"yes","no",0.693147180559945
"1047","MI",110,"area_code_510","no","no",0,92,3.21,258.4,81,74,4.93,14.8,4,1,"no","no",1.38629436111989
"1048","KY",98,"area_code_415","no","no",0,113,32.27,271.5,111,96,9.85,13,5,1,"no","no",1.6094379124341
"1049","NM",16,"area_code_510","no","no",0,84,24.62,164.9,141,75,10.42,8.2,4,2,"no","no",1.38629436111989
"1050","MI",139,"area_code_415","no","yes",20,101,36.48,235.1,132,132,7.33,14.8,12,0,"no","yes",2.484906649788
"1051","HI",99,"area_code_408","no","no",0,107,23.07,208.4,103,95,9.4,8.8,3,7,"yes","no",1.09861228866811
"1052","AL",69,"area_code_408","no","yes",27,104,32.03,320.6,128,120,7.28,9.7,7,1,"no","yes",1.94591014905531
"1053","MS",137,"area_code_510","no","no",0,119,25.02,192.8,91,105,7.77,10.2,4,1,"no","no",1.38629436111989
"1054","MI",47,"area_code_510","no","yes",30,101,23.21,174.9,74,91,6.59,10.9,3,2,"no","yes",1.09861228866811
"1055","NJ",113,"area_code_415","no","no",0,55,31.62,237.4,105,83,6.66,12.2,6,1,"no","no",1.79175946922805
"1056","WV",106,"area_code_510","no","no",0,133,33.12,213.4,73,92,8.59,11.5,7,0,"no","no",1.94591014905531
